# time expDrag(X Y Z) totDrag(X Y Z)
0.1001 0 0 0 0 0 0
0.1002 0 0 0 0 0 0
0.1003 0 0 0 0 0 0
0.1004 0 0 0 0 0 0
0.1005 0 0 0 0 0 0
0.1006 1.78658147444204e-20 -4.95026605603261e-22 9.66688707544586e-06 -7.65953838568762e-05 -9.89967439923352e-05 0.000309354723564323
0.1007 1.78658147444204e-20 -4.95026605603261e-22 9.66688707544586e-06 -3.03317918681567e-05 -4.41214755474569e-05 0.000293317306104139
0.1008 1.78658147444204e-20 -4.95026605603261e-22 9.66688707544586e-06 7.4673849596106e-06 -1.47492018224639e-06 0.000282797454507711
0.1009 1.78658147444204e-20 -4.95026605603261e-22 9.66688707544586e-06 4.69632398954947e-05 3.16597917686431e-05 0.000282697299000886
0.101 1.78658147444204e-20 -4.95026605603261e-22 9.66688707544586e-06 7.59078492409625e-05 5.67632879433446e-05 0.000287072337403617
0.1011 -0.000520370857846005 0.000500139600395962 0.0749896854528941 -0.000754980831413302 0.000835016442263704 0.112570057652343
0.1012 -0.000520370857846005 0.000500139600395962 0.0749896854528941 -0.000638768466843202 0.000773629671617302 0.100890488572959
0.1013 -0.000520370857846005 0.000500139600395962 0.0749896854528941 -0.000539609947803118 0.000721458164888599 0.0914011844294448
0.1014 -0.000520370857846005 0.000500139600395962 0.0749896854528941 -0.000453175888588888 0.000678349118632068 0.0838007356592168
0.1015 -0.000520370857846005 0.000500139600395962 0.0749896854528941 -0.000376524233826553 0.000652068056346923 0.0777955387364805
0.1016 -0.000282700155060812 0.000303337264730485 0.0712756870405446 -9.47337773842371e-05 0.000199460032749231 0.0706740666225651
0.1017 -0.000282700155060812 0.000303337264730485 0.0712756870405446 -8.4793308873613e-05 0.000243485855503123 0.0673136470361267
0.1018 -0.000282700155060812 0.000303337264730485 0.0712756870405446 -8.56439744499315e-05 0.000281722212121603 0.0648086036948483
0.1019 -0.000282700155060812 0.000303337264730485 0.0712756870405446 -9.05300508970789e-05 0.000307226193903783 0.0629955056885508
0.102 -0.000282700155060812 0.000303337264730485 0.0712756870405446 -9.79304921342552e-05 0.00031263855515772 0.0617322881227722
0.1021 0.000946650522192489 -2.54915181678524e-06 0.0287330583250521 0.00176783836879414 0.000100844271352611 0.0558034393435676
0.1022 0.000946650522192489 -2.54915181678524e-06 0.0287330583250521 0.00154154537970368 9.50509998907744e-05 0.0558149049416515
0.1023 0.000946650522192489 -2.54915181678524e-06 0.0287330583250521 0.00134319837867171 7.86996400045473e-05 0.0560225041458719
