# Region type : patch wall
# Faces  :   264
# Area   :   8.000000e-01
# Time       	sum(phi)
1.17         	1.540759e-06
1.175        	1.580197e-06
1.18         	1.612592e-06
1.185        	1.639706e-06
1.19         	1.662247e-06
1.195        	1.679491e-06
1.2          	1.691382e-06
1.205        	1.697952e-06
1.21         	1.698758e-06
1.215        	1.693285e-06
1.22         	1.681214e-06
1.225        	1.666123e-06
1.23         	1.646139e-06
1.235        	1.621459e-06
1.24         	1.591864e-06
1.245        	1.557776e-06
1.25         	1.519316e-06
1.255        	1.580802e-06
1.26         	1.577189e-06
1.265        	1.437556e-06
1.27         	1.380453e-06
1.275        	1.378768e-06
1.28         	1.304224e-06
1.285        	1.206633e-06
1.29         	1.157424e-06
1.295        	1.108195e-06
1.3          	1.022199e-06
1.305        	9.419691e-07
1.31         	8.825428e-07
1.315        	8.115983e-07
1.32         	7.269897e-07
1.325        	6.520734e-07
1.33         	5.821298e-07
1.335        	5.034225e-07
1.34         	4.225037e-07
1.345        	3.470831e-07
1.35         	2.713448e-07
1.355        	1.915613e-07
1.36         	1.125316e-07
1.365        	3.582735e-08
1.37         	-3.924853e-08
1.375        	-1.101389e-07
1.38         	-1.840663e-07
1.385        	-2.567793e-07
1.39         	-3.285595e-07
1.395        	-4.010302e-07
1.4          	-4.729186e-07
1.405        	-5.439283e-07
1.41         	-6.145191e-07
1.415        	-6.844559e-07
1.42         	-7.534662e-07
1.425        	-8.215694e-07
1.43         	-8.881867e-07
1.435        	-9.536776e-07
1.44         	-1.017527e-06
1.445        	-1.079454e-06
1.45         	-1.138926e-06
1.455        	-1.195925e-06
1.46         	-1.251334e-06
1.465        	-1.304160e-06
1.47         	-1.354565e-06
1.475        	-1.400819e-06
1.48         	-1.441934e-06
1.485        	-1.479530e-06
1.49         	-1.513628e-06
1.495        	-1.544082e-06
1.5          	-1.569785e-06
