# Region type : patch outlet
# Faces  :   4
# Area   :   1.000000e-02
# Time       	sum(phi)
1.215        	9.998236e-03
1.22         	9.998331e-03
1.225        	9.998425e-03
1.23         	9.998532e-03
1.235        	9.998637e-03
1.24         	9.998726e-03
1.245        	9.998816e-03
1.25         	9.998905e-03
1.255        	9.998993e-03
1.26         	9.999051e-03
1.265        	9.999095e-03
1.27         	9.999140e-03
1.275        	9.999186e-03
1.28         	9.999232e-03
1.285        	9.999249e-03
1.29         	9.999237e-03
1.295        	9.999226e-03
1.3          	9.999217e-03
1.305        	9.999187e-03
1.31         	9.999135e-03
1.315        	9.999084e-03
1.32         	9.999034e-03
1.325        	9.998970e-03
1.33         	9.998907e-03
1.335        	9.998838e-03
1.34         	9.998767e-03
1.345        	9.998697e-03
1.35         	9.998630e-03
1.355        	9.998572e-03
1.36         	9.998517e-03
1.365        	9.998464e-03
1.37         	9.998430e-03
1.375        	9.998404e-03
1.38         	9.998400e-03
1.385        	9.998405e-03
1.39         	9.998431e-03
1.395        	9.998461e-03
1.4          	9.998508e-03
1.405        	9.998554e-03
1.41         	9.998610e-03
1.415        	9.998661e-03
1.42         	9.998715e-03
1.425        	9.998760e-03
1.43         	9.998804e-03
1.435        	9.998834e-03
1.44         	1.000071e-02
1.445        	1.000097e-02
1.45         	1.000179e-02
1.455        	1.000186e-02
1.46         	1.000211e-02
1.465        	1.000226e-02
1.47         	1.000234e-02
1.475        	1.000232e-02
1.48         	1.000226e-02
1.485        	1.000215e-02
1.49         	1.000200e-02
1.495        	1.000185e-02
1.5          	1.000169e-02
