    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
  164000     1005   1.159283e-06  5.3227781e-06          0.011      833.28172 
  164001     1005   1.158966e-06  5.3217947e-06          0.011      833.26731 
    Step    Atoms         KinEng            rke         Volume       heattran 
  164001     1005   1.158966e-06  5.3217947e-06          0.011      840.47342 
  164501     1005  1.0261095e-06  4.8348777e-06          0.011      833.28876 
    Step    Atoms         KinEng            rke         Volume       heattran 
  164501     1005  1.0261095e-06  4.8348777e-06          0.011      840.47342 
  165000     1005  9.2206929e-07  4.3369142e-06          0.011      833.32411 
  165001     1005  9.2189185e-07  4.3359319e-06          0.011      833.30979 
    Step    Atoms         KinEng            rke         Volume       heattran 
  165001     1005  9.2189185e-07  4.3359319e-06          0.011      840.47342 
  165501     1005  8.5228201e-07   3.871348e-06          0.011       833.3304 
    Step    Atoms         KinEng            rke         Volume       heattran 
  165501     1005  8.5228201e-07   3.871348e-06          0.011      840.47342 
  166000     1005  7.7305534e-07  3.4166396e-06          0.011      833.36485 
  166001     1005  7.7283383e-07  3.4156831e-06          0.011       833.3506 
    Step    Atoms         KinEng            rke         Volume       heattran 
  166001     1005  7.7283383e-07  3.4156831e-06          0.011      840.47342 
  166501     1005  6.3402822e-07  2.9214302e-06          0.011      833.37041 
    Step    Atoms         KinEng            rke         Volume       heattran 
  166501     1005  6.3402822e-07  2.9214302e-06          0.011      840.47342 
  167000     1005  5.0472595e-07  2.4584999e-06          0.011      833.40397 
  167001     1005  5.0453705e-07  2.4576473e-06          0.011      833.38981 
    Step    Atoms         KinEng            rke         Volume       heattran 
  167001     1005  5.0453705e-07  2.4576473e-06          0.011      840.47342 
  167501     1005  4.4713646e-07  2.0635318e-06          0.011       833.4088 
    Step    Atoms         KinEng            rke         Volume       heattran 
  167501     1005  4.4713646e-07  2.0635318e-06          0.011      840.47342 
  168000     1005  4.0489285e-07   1.692939e-06          0.011      833.44148 
  168001     1005   4.047588e-07   1.692191e-06          0.011      833.42739 
    Step    Atoms         KinEng            rke         Volume       heattran 
  168001     1005   4.047588e-07   1.692191e-06          0.011      840.47342 
  168501     1005  3.0819353e-07  1.3204087e-06          0.011       833.4455 
    Step    Atoms         KinEng            rke         Volume       heattran 
  168501     1005  3.0819353e-07  1.3204087e-06          0.011      840.47342 
  169000     1005     2.0409e-07  9.8216914e-07          0.011      833.47732 
  169001     1005  2.0392976e-07  9.8155173e-07          0.011       833.4633 
    Step    Atoms         KinEng            rke         Volume       heattran 
  169001     1005  2.0392976e-07  9.8155173e-07          0.011      840.47342 
  169501     1005  1.5514779e-07  7.0750381e-07          0.011      833.48071 
    Step    Atoms         KinEng            rke         Volume       heattran 
  169501     1005  1.5514779e-07  7.0750381e-07          0.011      840.47342 
  170000     1005  1.3622531e-07   4.884391e-07          0.011      833.51168 
  170001     1005  1.3617559e-07  4.8803493e-07          0.011      833.49773 
    Step    Atoms         KinEng            rke         Volume       heattran 
  170001     1005  1.3617559e-07  4.8803493e-07          0.011      840.47342 
